id,question,expected_source
1,ما هو المقصود بنسبة 0.0025 المقررة بالمادة 40 من قانون التأمين الصحي الشامل؟,health_contribution
2,ما هي المساهمة التكافلية في قانون التأمين الصحي الشامل؟,health_contribution
3,على من تطبق نسبة المساهمة التكافلية؟,health_contribution
4,كيف يتم حساب النسبة المقررة للتأمين الصحي الشامل؟,health_contribution
5,ما الأساس القانوني للمساهمة التكافلية؟,health_contribution
6,هل نسبة 0.0025 تعتبر ضريبة أم مساهمة؟,health_contribution
7,ما علاقة المادة 40 بالتأمين الصحي الشامل؟,health_contribution
8,ما المقصود بصافي الإيرادات عند حساب مساهمة التأمين الصحي؟,health_contribution
9,هل تطبق مساهمة التأمين الصحي الشامل على جميع المنشآت؟,health_contribution
10,ما طريقة توريد المساهمة التكافلية؟,health_contribution
11,هل توجد إعفاءات من المساهمة التكافلية؟,health_contribution
12,ما الجهة المختصة بتحصيل مساهمة التأمين الصحي الشامل؟,health_contribution
13,ما الفرق بين الضريبة والمساهمة التكافلية؟,health_contribution
14,كيف تفسر مصلحة الضرائب نسبة 0.0025؟,health_contribution
15,هل المساهمة التكافلية تخص الأشخاص الطبيعيين أم الاعتباريين؟,health_contribution
16,هل يتم حساب مساهمة التأمين الصحي على الأرباح أم الإيرادات؟,health_contribution
17,ما هو نطاق تطبيق قانون التأمين الصحي الشامل؟,health_contribution
18,هل المساهمة التكافلية واجبة السداد سنوياً؟,health_contribution
19,ما أثر عدم سداد مساهمة التأمين الصحي؟,health_contribution
20,ما النص القانوني المرتبط بالمساهمة التكافلية؟,health_contribution
21,ما المقصود بضريبة الدخل؟,income_tax
22,من هو الممول في قانون ضريبة الدخل؟,income_tax
23,ما هي الإيرادات الخاضعة لضريبة الدخل؟,income_tax
24,كيف يتم تحديد وعاء ضريبة الدخل؟,income_tax
25,ما هي الأرباح التجارية والصناعية؟,income_tax
26,ما المعاملة الضريبية للأشخاص الاعتباريين؟,income_tax
27,ما المقصود بصافي الربح الخاضع للضريبة؟,income_tax
28,ما هي التكاليف واجبة الخصم؟,income_tax
29,ما الشروط العامة لخصم المصروفات؟,income_tax
30,ما هي الإعفاءات في قانون ضريبة الدخل؟,income_tax
31,كيف يتم التعامل مع الخسائر الضريبية؟,income_tax
32,ما هي أرباح المهن غير التجارية؟,income_tax
33,ما المقصود بالإقرار الضريبي؟,income_tax
34,ما هي مواعيد تقديم الإقرار الضريبي؟,income_tax
35,ما الجزاء عند عدم تقديم الإقرار الضريبي؟,income_tax
36,ما هي الضريبة على المرتبات؟,income_tax
37,كيف يتم حساب الضريبة على الأشخاص الطبيعيين؟,income_tax
38,ما المقصود بسعر الضريبة؟,income_tax
39,ما هي الضريبة المستحقة؟,income_tax
40,ما الفرق بين الإيراد والربح الخاضع للضريبة؟,income_tax
41,ما المقصود بالخصم تحت حساب الضريبة؟,income_tax
42,ما هي الالتزامات الضريبية على الشركات؟,income_tax
43,هل المصروفات الشخصية تخصم من الوعاء الضريبي؟,income_tax
44,ما هي المستندات المطلوبة لإثبات المصروفات؟,income_tax
45,ما المقصود بالفحص الضريبي؟,income_tax
46,ما هي حالات التهرب الضريبي؟,income_tax
47,ما هي العقوبات في قانون ضريبة الدخل؟,income_tax
48,ما المقصود بالضريبة القطعية؟,income_tax
49,ما هي المعاملة الضريبية للتوزيعات؟,income_tax
50,ما المقصود بالأرباح الرأسمالية؟,income_tax
51,ما هي التعليمات الضريبية الصادرة سنة 2012؟,instructions_2012
52,ما الهدف من تعليمات 2012؟,instructions_2012
53,كيف يتم تطبيق التعليمات الضريبية لسنة 2012؟,instructions_2012
54,هل تعليمات 2012 ملزمة للمأموريات؟,instructions_2012
55,ما أثر تعليمات 2012 على الفحص الضريبي؟,instructions_2012
56,ما هي الحالات التي تناولتها تعليمات 2012؟,instructions_2012
57,كيف فسرت التعليمات الضريبية بعض أحكام القانون؟,instructions_2012
58,ما علاقة تعليمات 2012 بضريبة الدخل؟,instructions_2012
59,هل تعليمات 2012 تتعلق بالمحاسبة الضريبية؟,instructions_2012
60,ما دور التعليمات التنفيذية في توحيد العمل الضريبي؟,instructions_2012
61,ما المقصود بالتعليمات التنفيذية في الضرائب؟,instructions_2012
62,هل يجوز الاستناد إلى تعليمات 2012 في الرد على الاستفسارات؟,instructions_2012
63,ما الفرق بين القانون والتعليمات التنفيذية؟,instructions_2012
64,كيف تساعد تعليمات 2012 في تفسير النصوص الضريبية؟,instructions_2012
65,ما الجهة التي تصدر التعليمات الضريبية؟,instructions_2012
66,ما هي الفتوى الضريبية المتعلقة بالقيمة المضافة؟,fatwa
67,هل توجد فتوى بشأن خصم الضريبة تحت حساب الضريبة؟,fatwa
68,ما رأي الفتوى في المعاملة الضريبية للخدمات؟,fatwa
69,كيف ترد الفتوى الضريبية على استفسارات الممولين؟,fatwa
70,ما الفتوى الخاصة بضريبة القيمة المضافة؟,fatwa
71,هل الفتاوى الضريبية ملزمة في التطبيق؟,fatwa
72,ما دور الفتوى الضريبية في تفسير القانون؟,fatwa
73,كيف يتم استخدام الفتوى في الرد الرسمي؟,fatwa
74,ما المقصود بالاستفسار في جدول الفتاوى؟,fatwa
